MP ID,Chemical Formula,FB Sublattice,N FBs,Sites per Unit Cell,Sites in FB Sublattice,d_NN,d_NNN,N Elements,Spacegroup,Spacegroup Number,E per Atom,Bandgap,FB Lattice Dimensionality,FB Lattice IDs,RCSR Name,Flat with decay,Flat with no decay
mvc-10457,Mg(WO2)2,W,4,42,12,3.14161,3.61642,3,['P1'],1,-1.84480315,0.6474,"[2, 2]","['SK-1', 'SK-18']","['kgm', 'None']",False,True
mp-1215316,ZrMn6GaSn5,Mn,2,13,6,2.626,4.31627,4,['P-6m2'],187,-0.13568186,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1222387,LuAlFe,Al,1,12,4,2.5993,4.49175,3,['Amm2'],38,-0.33984253,0.0,[2],['SK-1'],['kgm'],False,True
mp-1224133,HoAlNi,Ni,1,12,4,2.6376,4.51566,3,['Amm2'],38,-0.52558553,0.0,[2],['SK-1'],['kgm'],False,True
mp-1291670,Li2V3CoO8,V,2,28,6,2.90402,4.98803,4,['P1'],1,-2.27633915,0.0,[2],['SK-1'],['kgm'],False,True
mp-1176918,Li6V3P8O29,V,2,92,6,4.98867,6.95763,4,['P1'],1,-2.66138253,1.1982,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1314950,Li2Ni3SnO8,Ni,2,28,6,2.87087,5.02411,4,['C2/m'],12,-1.46351676,0.5425,[2],['SK-1'],['kgm'],False,True
mp-22449,InCu(PSe3)2,Se,4,20,12,3.59265,3.87299,4,['P-31c'],163,-0.47729332,0.2087,"[2, 2, 2, 2]","['SK-1', 'SK-1', 'SK-1', 'SK-1']","['kgm', 'kgm', 'kgm', 'kgm']",True,True
mp-1176978,Li9V6(P8O29)2,V,2,89,6,4.93322,7.1232,4,['P1'],1,-2.59720284,0.3357,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-18282,ScZnMo3O8,Mo,2,26,6,3.11865,5.13541,4,['P6_3mc'],186,-2.24327165,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1080529,SrTiS3,S,2,10,6,3.25159,3.49761,3,['P6_3/mmc'],194,-1.84047678,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1226744,DyMnGa,Dy,1,9,3,3.71039,3.96172,3,['Amm2'],38,-0.17212301,0.0,[2],['SK-1'],['kgm'],False,True
mp-757904,Li3V3P8O29,V,2,86,6,4.89726,7.17365,4,['P1'],1,-2.53222628,0.836,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-754784,Li2Mn3CoO8,Mn,2,28,6,2.88099,5.05538,4,['P6_3mc'],186,-1.91508472,0.6474,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1226253,CrSiW,Si,1,12,4,2.38456,4.09408,3,['Amm2'],38,-0.10846754,0.0,[2],['SK-1'],['kgm'],False,True
mp-757522,Li3V3P8O29,V,2,86,6,4.92835,7.23161,4,['P1'],1,-2.52953166,0.9734,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
